,Year,Trimester,Province,Mbps,date
564,2016,4,Mendoza,4.0,2016-10-01
565,2016,4,Misiones,7.0,2016-10-01
566,2016,4,Neuquén,6.0,2016-10-01
567,2016,4,Río Negro,4.0,2016-10-01
568,2016,4,Salta,5.0,2016-10-01
569,2016,4,San Juan,3.0,2016-10-01
570,2016,4,San Luis,4.0,2016-10-01
571,2016,4,Santa Cruz,4.0,2016-10-01
572,2016,4,Santa Fe,6.0,2016-10-01
573,2016,4,Santiago del Estero,5.0,2016-10-01
574,2016,4,Tierra del Fuego,3.0,2016-10-01
575,2016,4,Tucumán,6.0,2016-10-01
576,2016,3,Buenos Aires,6.0,2016-07-01
577,2016,3,Ciudad de Buenos Aires,7.0,2016-07-01
578,2016,3,Catamarca,5.0,2016-07-01
579,2016,3,Chaco,7.0,2016-07-01
580,2016,3,Chubut,3.0,2016-07-01
581,2016,3,Córdoba,6.0,2016-07-01
582,2016,3,Corrientes,6.0,2016-07-01
583,2016,3,Entre Ríos,6.0,2016-07-01
584,2016,3,Formosa,5.0,2016-07-01
585,2016,3,Jujuy,4.0,2016-07-01
586,2016,3,La Pampa,3.0,2016-07-01
587,2016,3,La Rioja,5.0,2016-07-01
588,2016,3,Mendoza,4.0,2016-07-01
589,2016,3,Misiones,7.0,2016-07-01
590,2016,3,Neuquén,5.0,2016-07-01
591,2016,3,Río Negro,4.0,2016-07-01
592,2016,3,Salta,5.0,2016-07-01
593,2016,3,San Juan,3.0,2016-07-01
594,2016,3,San Luis,4.0,2016-07-01
595,2016,3,Santa Cruz,4.0,2016-07-01
596,2016,3,Santa Fe,6.0,2016-07-01
597,2016,3,Santiago del Estero,5.0,2016-07-01
598,2016,3,Tierra del Fuego,3.0,2016-07-01
599,2016,3,Tucumán,6.0,2016-07-01
600,2016,2,Buenos Aires,5.0,2016-04-01
601,2016,2,Ciudad de Buenos Aires,7.0,2016-04-01
602,2016,2,Catamarca,4.0,2016-04-01
603,2016,2,Chaco,6.0,2016-04-01
604,2016,2,Chubut,3.0,2016-04-01
605,2016,2,Córdoba,6.0,2016-04-01
606,2016,2,Corrientes,6.0,2016-04-01
607,2016,2,Entre Ríos,5.0,2016-04-01
608,2016,2,Formosa,5.0,2016-04-01
609,2016,2,Jujuy,4.0,2016-04-01
610,2016,2,La Pampa,3.0,2016-04-01
611,2016,2,La Rioja,5.0,2016-04-01
612,2016,2,Mendoza,4.0,2016-04-01
613,2016,2,Misiones,6.0,2016-04-01
614,2016,2,Neuquén,5.0,2016-04-01
615,2016,2,Río Negro,4.0,2016-04-01
616,2016,2,Salta,5.0,2016-04-01
617,2016,2,San Juan,3.0,2016-04-01
618,2016,2,San Luis,4.0,2016-04-01
619,2016,2,Santa Cruz,4.0,2016-04-01
620,2016,2,Santa Fe,5.0,2016-04-01
621,2016,2,Santiago del Estero,4.0,2016-04-01
622,2016,2,Tierra del Fuego,3.0,2016-04-01
623,2016,2,Tucumán,5.0,2016-04-01
624,2016,1,Buenos Aires,5.0,2016-01-01
625,2016,1,Ciudad de Buenos Aires,6.0,2016-01-01
626,2016,1,Catamarca,4.0,2016-01-01
627,2016,1,Chaco,6.0,2016-01-01
628,2016,1,Chubut,3.0,2016-01-01
629,2016,1,Córdoba,5.0,2016-01-01
630,2016,1,Corrientes,5.0,2016-01-01
631,2016,1,Entre Ríos,5.0,2016-01-01
632,2016,1,Formosa,5.0,2016-01-01
633,2016,1,Jujuy,4.0,2016-01-01
634,2016,1,La Pampa,3.0,2016-01-01
635,2016,1,La Rioja,5.0,2016-01-01
636,2016,1,Mendoza,4.0,2016-01-01
637,2016,1,Misiones,6.0,2016-01-01
638,2016,1,Neuquén,4.0,2016-01-01
639,2016,1,Río Negro,4.0,2016-01-01
640,2016,1,Salta,5.0,2016-01-01
641,2016,1,San Juan,3.0,2016-01-01
642,2016,1,San Luis,4.0,2016-01-01
643,2016,1,Santa Cruz,3.0,2016-01-01
644,2016,1,Santa Fe,5.0,2016-01-01
645,2016,1,Santiago del Estero,4.0,2016-01-01
646,2016,1,Tierra del Fuego,3.0,2016-01-01
647,2016,1,Tucumán,5.0,2016-01-01
648,2015,4,Buenos Aires,5.0,2015-10-01
649,2015,4,Ciudad de Buenos Aires,6.0,2015-10-01
650,2015,4,Catamarca,4.0,2015-10-01
651,2015,4,Chaco,6.0,2015-10-01
652,2015,4,Chubut,3.0,2015-10-01
653,2015,4,Córdoba,5.0,2015-10-01
654,2015,4,Corrientes,5.0,2015-10-01
655,2015,4,Entre Ríos,5.0,2015-10-01
656,2015,4,Formosa,5.0,2015-10-01
657,2015,4,Jujuy,4.0,2015-10-01
658,2015,4,La Pampa,3.0,2015-10-01
659,2015,4,La Rioja,5.0,2015-10-01
660,2015,4,Mendoza,4.0,2015-10-01
661,2015,4,Misiones,6.0,2015-10-01
662,2015,4,Neuquén,4.0,2015-10-01
663,2015,4,Río Negro,4.0,2015-10-01
664,2015,4,Salta,5.0,2015-10-01
665,2015,4,San Juan,3.0,2015-10-01
666,2015,4,San Luis,4.0,2015-10-01
667,2015,4,Santa Cruz,3.0,2015-10-01
668,2015,4,Santa Fe,5.0,2015-10-01
669,2015,4,Santiago del Estero,4.0,2015-10-01
670,2015,4,Tierra del Fuego,3.0,2015-10-01
671,2015,4,Tucumán,5.0,2015-10-01
672,2015,3,Buenos Aires,5.0,2015-07-01
673,2015,3,Ciudad de Buenos Aires,6.0,2015-07-01
674,2015,3,Catamarca,4.0,2015-07-01
675,2015,3,Chaco,5.0,2015-07-01
676,2015,3,Chubut,3.0,2015-07-01
677,2015,3,Córdoba,5.0,2015-07-01
678,2015,3,Corrientes,5.0,2015-07-01
679,2015,3,Entre Ríos,5.0,2015-07-01
680,2015,3,Formosa,4.0,2015-07-01
681,2015,3,Jujuy,4.0,2015-07-01
682,2015,3,La Pampa,3.0,2015-07-01
683,2015,3,La Rioja,4.0,2015-07-01
684,2015,3,Mendoza,4.0,2015-07-01
685,2015,3,Misiones,6.0,2015-07-01
686,2015,3,Neuquén,4.0,2015-07-01
687,2015,3,Río Negro,4.0,2015-07-01
688,2015,3,Salta,4.0,2015-07-01
689,2015,3,San Juan,3.0,2015-07-01
690,2015,3,San Luis,4.0,2015-07-01
691,2015,3,Santa Cruz,3.0,2015-07-01
692,2015,3,Santa Fe,5.0,2015-07-01
693,2015,3,Santiago del Estero,4.0,2015-07-01
694,2015,3,Tierra del Fuego,3.0,2015-07-01
695,2015,3,Tucumán,5.0,2015-07-01
696,2015,2,Buenos Aires,4.0,2015-04-01
697,2015,2,Ciudad de Buenos Aires,5.0,2015-04-01
698,2015,2,Catamarca,4.0,2015-04-01
699,2015,2,Chaco,5.0,2015-04-01
700,2015,2,Chubut,3.0,2015-04-01
701,2015,2,Córdoba,5.0,2015-04-01
702,2015,2,Corrientes,5.0,2015-04-01
703,2015,2,Entre Ríos,5.0,2015-04-01
704,2015,2,Formosa,4.0,2015-04-01
705,2015,2,Jujuy,3.0,2015-04-01
706,2015,2,La Pampa,3.0,2015-04-01
707,2015,2,La Rioja,4.0,2015-04-01
708,2015,2,Mendoza,4.0,2015-04-01
709,2015,2,Misiones,5.0,2015-04-01
710,2015,2,Neuquén,4.0,2015-04-01
711,2015,2,Río Negro,4.0,2015-04-01
712,2015,2,Salta,4.0,2015-04-01
713,2015,2,San Juan,3.0,2015-04-01
714,2015,2,San Luis,4.0,2015-04-01
715,2015,2,Santa Cruz,3.0,2015-04-01
716,2015,2,Santa Fe,4.0,2015-04-01
717,2015,2,Santiago del Estero,4.0,2015-04-01
718,2015,2,Tierra del Fuego,3.0,2015-04-01
719,2015,2,Tucumán,4.0,2015-04-01
720,2015,1,Buenos Aires,4.0,2015-01-01
721,2015,1,Ciudad de Buenos Aires,5.0,2015-01-01
722,2015,1,Catamarca,3.0,2015-01-01
723,2015,1,Chaco,5.0,2015-01-01
724,2015,1,Chubut,3.0,2015-01-01
725,2015,1,Córdoba,4.0,2015-01-01
726,2015,1,Corrientes,5.0,2015-01-01
727,2015,1,Entre Ríos,4.0,2015-01-01
728,2015,1,Formosa,3.0,2015-01-01
729,2015,1,Jujuy,3.0,2015-01-01
730,2015,1,La Pampa,3.0,2015-01-01
731,2015,1,La Rioja,4.0,2015-01-01
732,2015,1,Mendoza,4.0,2015-01-01
733,2015,1,Misiones,5.0,2015-01-01
734,2015,1,Neuquén,4.0,2015-01-01
735,2015,1,Río Negro,4.0,2015-01-01
736,2015,1,Salta,4.0,2015-01-01
737,2015,1,San Juan,3.0,2015-01-01
738,2015,1,San Luis,4.0,2015-01-01
739,2015,1,Santa Cruz,3.0,2015-01-01
740,2015,1,Santa Fe,4.0,2015-01-01
741,2015,1,Santiago del Estero,4.0,2015-01-01
742,2015,1,Tierra del Fuego,3.0,2015-01-01
743,2015,1,Tucumán,4.0,2015-01-01
744,2014,4,Buenos Aires,4.0,2014-10-01
745,2014,4,Ciudad de Buenos Aires,5.0,2014-10-01
746,2014,4,Catamarca,3.0,2014-10-01
747,2014,4,Chaco,4.0,2014-10-01
748,2014,4,Chubut,3.0,2014-10-01
749,2014,4,Córdoba,4.0,2014-10-01
750,2014,4,Corrientes,4.0,2014-10-01
751,2014,4,Entre Ríos,4.0,2014-10-01
752,2014,4,Formosa,3.0,2014-10-01
753,2014,4,Jujuy,3.0,2014-10-01
754,2014,4,La Pampa,3.0,2014-10-01
755,2014,4,La Rioja,4.0,2014-10-01
756,2014,4,Mendoza,4.0,2014-10-01
757,2014,4,Misiones,4.0,2014-10-01
758,2014,4,Neuquén,4.0,2014-10-01
759,2014,4,Río Negro,4.0,2014-10-01
760,2014,4,Salta,4.0,2014-10-01
761,2014,4,San Juan,3.0,2014-10-01
762,2014,4,San Luis,4.0,2014-10-01
763,2014,4,Santa Cruz,3.0,2014-10-01
764,2014,4,Santa Fe,4.0,2014-10-01
765,2014,4,Santiago del Estero,3.0,2014-10-01
766,2014,4,Tierra del Fuego,3.0,2014-10-01
767,2014,4,Tucumán,4.0,2014-10-01
768,2014,3,Buenos Aires,4.0,2014-07-01
769,2014,3,Ciudad de Buenos Aires,4.0,2014-07-01
770,2014,3,Catamarca,3.0,2014-07-01
771,2014,3,Chaco,3.0,2014-07-01
772,2014,3,Chubut,3.0,2014-07-01
773,2014,3,Córdoba,4.0,2014-07-01
774,2014,3,Corrientes,3.0,2014-07-01
775,2014,3,Entre Ríos,3.0,2014-07-01
776,2014,3,Formosa,3.0,2014-07-01
777,2014,3,Jujuy,3.0,2014-07-01
778,2014,3,La Pampa,3.0,2014-07-01
779,2014,3,La Rioja,3.0,2014-07-01
780,2014,3,Mendoza,4.0,2014-07-01
781,2014,3,Misiones,4.0,2014-07-01
782,2014,3,Neuquén,4.0,2014-07-01
783,2014,3,Río Negro,3.0,2014-07-01
784,2014,3,Salta,3.0,2014-07-01
785,2014,3,San Juan,3.0,2014-07-01
786,2014,3,San Luis,4.0,2014-07-01
787,2014,3,Santa Cruz,3.0,2014-07-01
788,2014,3,Santa Fe,3.0,2014-07-01
789,2014,3,Santiago del Estero,3.0,2014-07-01
790,2014,3,Tierra del Fuego,3.0,2014-07-01
791,2014,3,Tucumán,3.0,2014-07-01
792,2014,2,Buenos Aires,4.0,2014-04-01
793,2014,2,Ciudad de Buenos Aires,4.0,2014-04-01
794,2014,2,Catamarca,3.0,2014-04-01
795,2014,2,Chaco,3.0,2014-04-01
796,2014,2,Chubut,3.0,2014-04-01
797,2014,2,Córdoba,4.0,2014-04-01
798,2014,2,Corrientes,3.0,2014-04-01
799,2014,2,Entre Ríos,3.0,2014-04-01
800,2014,2,Formosa,3.0,2014-04-01
801,2014,2,Jujuy,3.0,2014-04-01
802,2014,2,La Pampa,3.0,2014-04-01
803,2014,2,La Rioja,3.0,2014-04-01
804,2014,2,Mendoza,4.0,2014-04-01
805,2014,2,Misiones,4.0,2014-04-01
806,2014,2,Neuquén,4.0,2014-04-01
807,2014,2,Río Negro,3.0,2014-04-01
808,2014,2,Salta,3.0,2014-04-01
809,2014,2,San Juan,3.0,2014-04-01
810,2014,2,San Luis,4.0,2014-04-01
811,2014,2,Santa Cruz,3.0,2014-04-01
812,2014,2,Santa Fe,3.0,2014-04-01
813,2014,2,Santiago del Estero,3.0,2014-04-01
814,2014,2,Tierra del Fuego,3.0,2014-04-01
815,2014,2,Tucumán,3.0,2014-04-01
816,2014,1,Buenos Aires,4.0,2014-01-01
817,2014,1,Ciudad de Buenos Aires,4.0,2014-01-01
818,2014,1,Catamarca,3.0,2014-01-01
819,2014,1,Chaco,3.0,2014-01-01
820,2014,1,Chubut,3.0,2014-01-01
821,2014,1,Córdoba,3.0,2014-01-01
822,2014,1,Corrientes,3.0,2014-01-01
823,2014,1,Entre Ríos,3.0,2014-01-01
824,2014,1,Formosa,3.0,2014-01-01
825,2014,1,Jujuy,3.0,2014-01-01
826,2014,1,La Pampa,3.0,2014-01-01
827,2014,1,La Rioja,3.0,2014-01-01
828,2014,1,Mendoza,4.0,2014-01-01
829,2014,1,Misiones,3.0,2014-01-01
830,2014,1,Neuquén,4.0,2014-01-01
831,2014,1,Río Negro,3.0,2014-01-01
832,2014,1,Salta,3.0,2014-01-01
833,2014,1,San Juan,3.0,2014-01-01
834,2014,1,San Luis,4.0,2014-01-01
835,2014,1,Santa Cruz,3.0,2014-01-01
836,2014,1,Santa Fe,3.0,2014-01-01
837,2014,1,Santiago del Estero,3.0,2014-01-01
838,2014,1,Tierra del Fuego,3.0,2014-01-01
839,2014,1,Tucumán,3.0,2014-01-01
